     stop_id     |                    stop_name                     |     stop_id     |                    stop_name                     |       distance
 103878          | Weesp, J.H.Leopoldhof                            | 360611          | Weesp, J.H. Leopoldhof                           |  0.00145828625530367
 650836          | Wijk bij Duurstede, Steenstraat-Centrum          | 675896          | Wijk bij Duurstede, Steenstraat/Centrum          |  0.00146032650790366
 1134375         | Nieuwerkerk ad IJssel, Vrijheidslaan             | 82233           | Nieuwerkerk a/d IJssel, Vrijheidslaan            |  0.00146924014894792
 1332018         | Delfzijl, Station (Perron D)                     | 654644          | Delfzijl, Station (Perron E)                     |  0.00147789469397137
 1333419         | Emmen, Ln v.h. Kinholt 1                         | 1333455         | Emmen, Ln v.h. Kinholt 4                         |  0.00163918252371504
 1217163         | Delft, Station Delft (Perron F)                  | 1501697         | Delft, Station Delft (Perron E)                  |  0.00180753509214644
 506827          | Leiden, Centraal                                 | 53896           | Leiden Centraal                                  |  0.00181425537303358
 287425          | Middenbeemster, K.Hogetoornlaan                  | 521230          | Middenbeemster, K. Hogetoornlaan                 |  0.00184498700424332
 287426          | Middenbeemster, K.Hogetoornlaan                  | 521230          | Middenbeemster, K. Hogetoornlaan                 |  0.00184498700424332
 238109          | Vianen, Busstation Lekbrug (oost)                | NL:S:51340241   | Vianen, Busstation Lekbrug (Oost)                |  0.00184498700512234
 1134374         | Nieuwerkerk ad IJssel, Bospolderstraat           | 81367           | Nieuwerkerk a/d IJssel, Bospolderstraat          |  0.00190149614966568
 1332546         | Hoogeveen, Het Haagje                            | 866995          | Hoogeveen, 't Haagje                             |  0.00193361824807494
 1134945         | Zoetermeer, Centrum-West (spoor 6)               | 1134949         | Zoetermeer, Centrum-West (spoor 4)               |  0.00193624691039954
 1054            | Hoog-Keppel, Weg naar Hoog-Keppel                | 416288          | Hoog Keppel, Weg naar Hoog Keppel                |  0.00193910790880947
 1333343         | De Punt, Busstation (Perron A)                   | 1333604         | De Punt, Busstation (Perron B)                   |  0.00194412384451962
 417157          | Laag Keppel, 't Smaaleke                         | 434             | Laag-Keppel, 't Smaaleke                         |  0.00194920310898867
 1377653         | Haarlem, Station B                               | 1420643         | Haarlem, Station C                               |  0.00195397057026026
 1377888         | Delfzijl, Station (Perron A)                     | 1378265         | Delfzijl, Station (Perron C)                     |  0.00196250529446952
 418498          | Meppel, Burgem. Knopperslaan                     | 867400          | Meppel, Burg. Knopperslaan                       |  0.00196590453997193
 1356158         | Den Haag, Station Hollands Spoor (perron A)      | 1356188         | Den Haag, Station Hollands Spoor (perron B)      |  0.00222038978133336
 1100686         | Zoetermeer, Rokkeveenseweg Zuid                  | 1217076         | Zoetermeer, Rokkeveenseweg-zuid                  |  0.00222077957505961
 1329507         | Utrecht, Sterrenwijk (Perron A)                  | 1330363         | Utrecht, Sterrenwijk (Perron B)                  |  0.00224300094516828
 238183          | Laag-Keppel, Manege                              | 418938          | Laag Keppel, Manege                              |  0.00225186297704162
 1099925         | Delft, TU Technopolis                            | 1217171         | Delft, TU - Technopolis                          |  0.00225188757186775
 327334          | Amsterdam, G.J. Scheurleerweg                    | 560715          | Amsterdam, G.J.Scheurleerweg                     |  0.00227075460460026
 1420562         | Laag Keppel, 't Smaaleke                         | 1440350         | Laag-Keppel, 't Smaaleke                         |  0.00237212614781054
 1100508         | Capelle ad IJssel, Schermerhoek                  | 223188          | Capelle a/d IJssel, Schermerhoek                 |  0.00244913091587763
 416137          | Hoog Keppel, Burg. Vrijlandweg                   | 562             | Hoog-Keppel, Burg. Vrijlandweg                   |  0.00247443326270904
 238181          | Hoog-Keppel, Burg. Vrijlandweg                   | 418151          | Hoog Keppel, Burg. Vrijlandweg                   |  0.00247446447422214
 1237599         | Zwolle, Station/Uitstaphalte                     | 416772          | Zwolle, Station Uitstaphalte                     |  0.00252230259775283
 1378196         | Meppel, Station (Perron B)                       | 1401118         | Meppel, Station (Perron A)                       |  0.00253161783421607
 1421400         | Venlo, Station Perron C                          | 1421533         | Venlo, Station Perron B                          |   0.0025441994507326
 1356159         | Den Haag, Markenseplein (spoor 2)                | 1356168         | Den Haag, Markenseplein (spoor 1)                |  0.00259296980476231
 1101075         | Landsmeer, Van Beekstraat                        | 1377213         | Landsmeer, van Beekstraat                        |  0.00261145946807948
 222956          | Reek, Mgr. Borretstraat                          | 416837          | Reek, Mgr Borretstraat                           |  0.00261164574176128
 1377653         | Haarlem, Station B                               | NL:S:55000050   | Haarlem, Station                                 |  0.00261726021494029
 1356135         | Utrecht, CS Jaarbeursplein (Perron G3)           | 1356136         | Utrecht, CS Jaarbeursplein (Perron G4)           |   0.0026215291017624
 1330009         | Zeist, Busstation (Perron A)                     | 1400521         | Zeist, Busstation (Perron C)                     |  0.00262153328687671
 1329247         | Odijk, N229-Zeisterweg (Perron C)                | 1330297         | Odijk, N229-Zeisterweg (Perron D)                |  0.00263396728169411
 13574           | Amsterdam, Boven IJ Ziekenhuis                   | 15710           | Amsterdam, BovenIJ ziekenhuis                    |  0.00263569572091268
 103878          | Weesp, J.H.Leopoldhof                            | 664900          | Weesp, J.H. Leopoldhof                           |  0.00264361978837298
 1356160         | Den Haag, Van Boetzelaerlaan (spoor 1)           | 1356171         | Den Haag, Van Boetzelaerlaan (spoor 2)           |   0.0026849895872001
 361250          | Den Helder, Station NS                           | NL:S:34000010   | Den Helder, Station                              |  0.00270655669210595
 1420040         | Amsterdam, P.A. van Heijningestraat              | 14846           | Amsterdam, P.A. v. Heijningestraat               |  0.00270828950918242
 1100808         | Delft, TU Technopolis                            | 1217654         | Delft, TU - Technopolis                          |  0.00272777203885403
 1440572         | Zoetermeer, Centrum West                         | 979793          | Zoetermeer, Centrum-West                         |  0.00280066966997909
 1420901         | 's-Hertogenbosch, Centraal Station (J)           | 1421036         | 's-Hertogenbosch, Centraal Station (K)           |  0.00289809152638317
 1215521         | Vianen, Busstation Lekbrug (oost)                | NL:S:51340241   | Vianen, Busstation Lekbrug (Oost)                |  0.00291177564028018
 13478           | Amsterdam, Boven IJ Ziekenhuis                   | 15634           | Amsterdam, BovenIJ ziekenhuis                    |  0.00292409481197029
 1329555         | Nieuwegein, Stadscentrum (Perron E)              | 650859          | Nieuwegein, Stadscentrum (Perron D)              |  0.00299252639422761
 1356137         | Utrecht, CS Jaarbeursplein (Perron G5)           | 1356138         | Utrecht, CS Jaarbeursplein (Perron G6)           |  0.00301585928117762
 1356133         | Utrecht, CS Jaarbeursplein (Perron G1)           | 1356134         | Utrecht, CS Jaarbeursplein (Perron G2)           |  0.00301586390226675
 1356157         | Den Haag, Station Hollands Spoor (perron C)      | 1356189         | Den Haag, Station Hollands Spoor (perron D)      |   0.0030542386167989
 1217118         | Zoetermeer, Rokkeveenseweg-zuid                  | 1377795         | Zoetermeer, Rokkeveenseweg Zuid                  |  0.00305977805865324
 1333342         | Appingedam, Busstation (Perron B)                | 1333605         | Appingedam, Busstation (Perron C)                |   0.0030897642081319
 1331588         | Meppel, Station (Perron D)                       | 1333410         | Meppel, Station (Perron C)                       |  0.00310036660729286
 1331315         | Meppel, Station (Perron C)                       | 1331588         | Meppel, Station (Perron D)                       |  0.00310036660729286
 1134079         | Vianen, Busstation Lekbrug Oost (Perron G)       | 1330364         | Vianen, Busstation Lekbrug Oost (Perron H)       |  0.00310402894950323
 1421038         | 's-Hertogenbosch, Centraal Station (I)           | 1421040         | 's-Hertogenbosch, Centraal Station (H)           |  0.00312872877887596
 1331499         | Delfzijl, Station (Perron F)                     | 654644          | Delfzijl, Station (Perron E)                     |  0.00313347951091949
 1217522         | Delft, TU - Kluyverpark                          | 558652          | Delft, TU Kluyverpark                            |   0.0031484381704252
 1331989         | Groningen, Hoofdstation (Perron Z)               | 1331990         | Groningen, Hoofdstation (Perron Y)               |  0.00316308101624997
 1330967         | Emmen, Station (Perron D)                        | 1331218         | Emmen, Station (Perron E)                        |  0.00316339958549274
 1330967         | Emmen, Station (Perron D)                        | 1333793         | Emmen, Station (Perron H)                        |  0.00316339958549274
 325156          | Nieuw Vossemeer, Slaakdam                        | 435394          | Nieuw-Vossemeer, Slaakdam                        |  0.00318904675253458
 1217741         | Wassenaar, van Oldenbarneveltweg                 | 1376971         | Wassenaar, Van Oldenbarneveltweg                 |  0.00322047463754846
 1421041         | 's-Hertogenbosch, Centraal Station (E)           | 1421042         | 's-Hertogenbosch, Centraal Station (F)           |  0.00322334009409408
 672542          | IJsselstein, Van der Voort                       | 81597           | IJsselstein, Van Der Voort                       |  0.00322469461572175
 1100652         | Krimpen ad IJssel, Koekoekstraat                 | 82882           | Krimpen a/d IJssel, Koekoekstraat                |  0.00322496437469703
 361249          | Den Helder, Station                              | NL:S:34000010   | Den Helder, Station                              |  0.00322993860933061
 1501698         | Delft, Station Delft (Perron F)                  | 1501758         | Delft, Station Delft (Perron G)                  |  0.00323541278406313
 1421039         | 's-Hertogenbosch, Centraal Station (G)           | 1421042         | 's-Hertogenbosch, Centraal Station (F)           |  0.00325923003526273
 1331196         | Loppersum, Station (Perron B)                    | 1377881         | Loppersum, Station (Perron D)                    |  0.00330098379287985
 1421486         | Venray, Station B                                | NL:S:69710500   | Venray, Station                                  |  0.00335774917331947
 1133639         | Rotterdam, Zuidplein perron K                    | 1196136         | Rotterdam, Zuidplein perron L                    |  0.00337879658538346
 1333551         | Assen, Selma Lagerlöflaan                        | 649957          | Assen, Selma Lagerloflaan                        |  0.00338039472339574
 1420901         | 's-Hertogenbosch, Centraal Station (J)           | 1421038         | 's-Hertogenbosch, Centraal Station (I)           |  0.00339137179871448
 1420902         | 's-Hertogenbosch, Centraal Station (D)           | 1421043         | 's-Hertogenbosch, Centraal Station (C)           |  0.00339137640885807
 1420730         | Amsterdam, G.v. Ledenberchstraat                 | 15324           | Amsterdam, G. v.Ledenberchstraat                 |   0.0033924663031483
 402565          | Eemnes, BEL kantoor                              | 671962          | Eemnes, BEL-kantoor                              |  0.00339374605663578
 363770          | Laag Keppel, Manege                              | 945             | Laag-Keppel, Manege                              |   0.0033963391185646
 1501696         | Delft, Station Delft (Perron H)                  | 1501700         | Delft, Station Delft (Perron I)                  |   0.0034130417011011
